0	208	209	219	0
1	0	0	0	0
2	0	0	0	0
3	0	0	0	0
4	0	0	0	0
5	0	0	0	0
6	0	0	0	0
7	0	0	0	0
8	14	6	14	0
9	6	5	9	0
10	0	0	0	0
11	0	0	0	0
12	0	0	0	0
13	0	0	0	26
14	0	0	0	24
15	0	0	0	16
16	27	22	23	29
17	0	0	0	39
18	0	0	0	0
19	36	38	44	0
20	0	0	0	1
21	10	19	17	7
22	0	0	0	5
23	31	28	26	1
24	0	0	0	0
25	59	60	48	0
26	0	0	0	0
27	8	4	6	10
28	0	0	0	1
29	0	0	0	0
30	0	0	0	24
31	92	94	96	0
32	3068	3061	3058	45
33	68	74	92	5
34	629	643	642	0
35	13	13	12	32
36	5919	5905	5898	28
37	52	62	60	28
38	70	63	60	0
39	1632	1656	1646	11
40	0	0	4	42
41	42	56	45	3064
42	6	3	3	4
43	15	7	12	23
44	487	488	491	82
45	47	38	36	19
46	29	32	32	10
47	0	0	0	5916
48	0	0	0	24
49	10	12	6	17
50	1	2	1	14
51	25	22	16	8
52	0	1	0	22
53	0	0	0	40
54	55	58	58	17
55	33	39	32	35
56	19	23	21	26
57	47	44	66	38
58	19	19	25	37
59	0	0	0	56
60	9	17	10	61
61	103	106	101	71
62	14	15	17	3060
63	41	40	32	3060
64	72	59	76	81
65	3062	3071	3068	48
66	0	0	0	89
67	111	106	94	58
68	36	40	39	505
69	55	55	59	82
70	56	74	56	94
71	3105	3100	3102	5925
72	45	50	49	108
73	68	86	68	57
74	104	83	92	5837
75	46	36	50	41
76	5919	5926	5915	24
77	5	7	2	63
78	67	50	57	28
79	80	102	86	35
80	28	17	18	29
81	5901	5889	5905	20
82	30	31	21	30
83	120	102	109	625
84	12	10	10	49
85	10	7	4	47
86	11	10	17	28
87	4	2	3	58
88	0	0	0	39
89	601	584	591	93
90	77	85	85	75
91	18	9	17	1699
92	48	45	52	16
93	17	14	10	27
94	35	38	50	18
95	13	4	11	7
96	23	24	25	22
97	37	28	33	23
98	19	14	10	169
99	7	2	5	61
100	0	0	0	24
101	4	2	5	18
102	0	0	0	11
103	2	5	4	16
104	85	86	78	9
105	0	0	0	40
106	8	9	11	13
107	27	25	40	5
108	36	44	38	7
109	6	11	3	15
110	15	9	14	23
111	20	25	21	15
112	0	0	0	22
113	0	2	1	151
114	0	0	0	28
115	9	16	10	17
116	9	10	10	8
117	12	9	6	20
118	13	14	15	15
119	143	143	146	6
120	4	15	11	568
121	25	29	24	18
122	30	34	24	26
123	0	0	0	29
124	143	153	137	11
125	6	5	3	18
126	3	8	4	1
127	1	0	1	3
128	2	3	2	3
129	0	0	0	5
130	18	30	51	5
131	2	1	0	25
132	15	13	15	6
133	12	3	12	3
134	0	0	0	8
135	31	34	28	10
136	3	2	2	3
137	8	8	6	2
138	0	0	0	10
139	2	2	3	31
140	9	4	7	11
141	15	14	18	4
142	24	24	29	9
143	0	0	0	5
144	2	1	4	14
145	1	1	2	12
146	0	0	0	4
147	11	17	10	1
148	22	12	9	4
149	0	0	0	9
150	11	25	14	5
151	0	0	0	0
152	22	22	21	9
153	0	0	0	9
154	13	10	11	16
155	0	0	0	4
156	5	9	4	22
157	2	1	5	12
158	0	0	0	8
159	9	13	22	2
160	1	5	7	18
161	0	0	0	6
162	0	0	0	2
163	10	11	8	9
164	6	2	4	1
165	8	6	9	15
166	10	16	17	8
167	14	10	12	10
168	25	22	29	13
169	13	11	11	7
170	4	6	2	8
171	4	6	1	2
172	21	21	12	9
173	0	0	0	7
174	0	0	4	1
175	0	0	0	25
176	0	0	0	8
177	0	0	0	19
178	2	3	4	3
179	8	7	4	5
180	0	0	0	3
181	0	4	0	10
182	14	10	10	14
183	8	6	6	8
184	18	27	29	11
185	27	13	24	4
186	4	6	6	5
187	1	4	6	6
188	23	21	8	17
189	0	0	0	3
190	8	10	11	42
191	0	0	0	5
192	0	0	0	12
193	0	0	0	4
194	12	11	12	25
195	21	16	7	588
196	15	26	26	8
197	21	8	23	11
198	3	2	3	654
199	34	34	34	477
200	2	6	3	1637
201	4	8	2	132
202	625	621	623	59
203	0	0	0	9
204	0	0	0	6
205	0	0	0	69
206	21	22	31	34
207	0	0	0	29
208	16	13	18	20
209	37	38	38	5
210	7	11	6	8
211	0	0	0	1617
212	0	3	0	7
213	23	13	13	75
214	24	35	17	21
215	0	0	0	24
216	12	12	11	0
217	0	0	0	56
218	1623	1621	1654	4
219	7	16	14	20
220	87	91	88	1
221	0	0	0	28
222	27	15	9	2
223	7	17	16	1
224	0	0	0	7
225	74	67	79	2
226	17	14	15	15
227	11	15	9	4
228	0	0	0	0
229	0	0	0	7
230	0	0	0	8
231	0	0	0	0
232	0	0	0	6
233	6	3	1	2
234	0	0	0	2
235	34	28	25	30
236	18	16	13	5
237	0	0	0	68
238	53	59	62	13
239	0	0	0	0
240	0	0	0	9
241	0	0	0	22
242	626	630	626	13
243	0	0	0	5
244	0	0	0	4
245	0	0	0	4
246	1656	1646	1628	8
247	0	0	0	11
248	63	64	70	14
249	0	0	0	1
250	41	39	40	6
251	12	11	18	20
252	0	0	0	17
253	65	64	60	12
254	0	0	0	10742
255	11541	11531	11534	0
